stop_id,stop_name,buses_day,buses_am_peak,buses_pm_peak,routes_served,metro_dist_m,near_metro,mall_frontage,is_surveyed,affected
903502,Ibn Battuta Bus Station 2,1986,355,359,11,90.0,True,False,False,True
397501,Union Metro Bus Stop 2-1,1904,338,339,12,118.0,True,False,False,True
567502,Mall of the Emirates Bus Station 2,1610,286,292,8,59.0,True,True,False,True
954501,Equiti Metro Bus Stop Landside 1,1492,265,264,8,39.0,True,False,False,True
100024,Gold Souq Bus Station 24,1445,265,269,8,22.0,True,True,False,True
205101,Abu Baker Al Siddique Metro Bus Stop 1,1403,251,259,14,21.0,True,False,False,True
961502,Rashidiya Bus Station Gate 2,1366,246,251,9,96.0,True,False,False,True
472501,Baniyas Square Metro Bus Stop,1219,225,231,7,88.0,True,False,False,True
441501,Dubai Mall Metro Bus Stop Landside 1,1241,224,221,8,66.0,True,True,False,True
921101,Rashidiya Bus Station Parking (Non Stop),1133,223,220,12,141.0,True,False,False,True
723501,National Paints Metro Bus Stop Landside,1304,219,219,7,28.0,True,False,False,True
575501,Al Fardan Exchange Metro Bus Stop Seaside,1192,216,215,6,0.0,True,False,False,True
215115,,1154,211,212,6,195.0,True,False,False,True
292602,Expo 2020 Metro Station 2,1166,208,210,7,9.0,True,False,False,True
599501,Life Pharmacy Metro Bus Stop Seaside 2,1139,198,201,6,204.0,False,False,False,False
186102,Al Ras Metro Bus Stop 2,1050,195,199,7,126.0,True,False,False,True
376501,Union Metro Bus Stop 1-1,1042,182,182,16,174.0,True,False,False,True
140001,Salah Al Din Metro Bus Stop 1,1049,180,184,14,118.0,True,False,True,True
451501,ADCB Metro Bus Stop Seaside,1020,179,178,10,7.0,True,False,False,True
604502,Al Garhoud Metro Bus Stop 2,977,177,179,5,26.0,True,False,False,True
140002,Salah Al Din Metro Bus Stop 2,934,173,176,11,105.0,True,False,True,True
186101,Al Ras Metro Bus Stop 1,938,171,175,8,41.0,True,False,False,True
198102,Al Nahda  Metro Bus Stop 2,940,168,170,13,35.0,True,False,False,True
197102,Stadium Metro Bus Stop 2,895,167,166,13,29.0,True,False,False,True
202101,Sharaf DG Metro Bus Stop 1-1,856,162,162,15,340.0,False,False,True,True
556501,"Airport Terminal 1, External Parking",885,157,160,7,323.0,False,False,False,False
935501,Sobha Realty Metro Bus Stop Seaside,947,157,154,7,166.0,True,False,False,True
197101,Stadium Metro Bus Stop 1,844,152,150,13,149.0,True,False,False,True
546502,DIP Metro Bus Stop 2,854,152,156,6,41.0,True,False,False,True
206101,Abu Baker Al Siddique Metro Bus Stop 2,838,152,150,11,30.0,True,False,False,True
201101,Al Ghubaiba Metro Bus Stop,778,149,152,6,125.0,True,False,False,True
302201,,848,147,149,5,49.0,True,False,False,True
546501,DIP Metro Bus Stop 1,939,144,148,6,42.0,True,False,False,True
196101,Abu Hail Metro Bus Stop B,762,138,136,9,39.0,True,False,False,True
202102,Sharaf DG Metro Bus Stop 1-2,798,137,143,14,239.0,False,False,True,True
962101,Creek Metro Bus Stop,722,135,137,4,37.0,True,False,False,True
376502,Union Metro Bus Stop 1-2,730,135,127,12,158.0,True,False,False,True
199102,Dubai Airport Free Zone Metro Bus Stop 2,708,131,128,11,38.0,True,False,False,True
200102,Al Qusais Metro Bus Stop 2,714,131,131,7,149.0,True,False,False,True
238102,"Satwa, Masjid 2",712,131,116,14,1061.0,False,False,False,False
882002,NMC Hospital 2,632,129,135,9,1615.0,False,False,False,False
461001,Max Metro Bus Stop Seaside,708,126,127,8,50.0,True,False,False,True
302101,"Al Nahda 1, Terminus 2",631,124,149,8,2250.0,False,False,False,False
208102,,655,124,127,3,31.0,True,False,False,True
138101,ADCB Metro Bus Stop Landside,703,124,125,9,139.0,True,False,False,True
460001,"Satwa, Post Office",684,122,107,13,1095.0,False,False,False,False
218101,"Hor Al Anz East, Qiyadah Metro Bus Stop",666,119,118,4,170.0,True,False,False,True
112001,Naif Intersection 1,695,119,109,15,576.0,False,False,True,True
705501,Insurance Market Metro Bus Stop Landside 1,651,118,117,2,24.0,True,True,False,True
112002,Naif Intersection 2,664,116,107,15,647.0,False,False,True,True
198101,Al Nahda  Metro Bus Stop 1,632,116,115,9,51.0,True,False,False,True
882001,NMC Hospital 1,597,115,117,9,1529.0,False,False,False,False
114001,"Burj Nahar, Intersection 1",659,115,101,15,922.0,False,False,True,True
885001,"Al Qusais, Public Transport Depot 1",541,111,99,8,3124.0,False,False,False,False
200101,Al Qusais Metro Bus Stop 1,584,110,113,8,118.0,True,False,False,True
961508,Rashidiya Bus Station Arrival,573,109,107,12,84.0,True,False,False,True
209101,Oud Metha Metro Bus Stop 1,542,109,101,10,61.0,True,False,False,True
114002,"Burj Nahar, Intersection 2",603,108,98,14,914.0,False,False,True,True
123002,Union Bus Station 2,604,107,107,6,210.0,False,False,False,False
195504,,597,107,107,4,83.0,True,False,False,True
884001,Dubai Carmel School 1,527,105,100,7,2882.0,False,False,False,False
209102,Oud Metha Metro Bus Stop 2,577,104,105,11,71.0,True,False,False,True
603501,Danube Metro Bus Stop Landside,617,104,104,8,73.0,True,False,False,True
199101,Dubai Airport Free Zone Metro Bus Stop 1,560,103,102,7,79.0,True,False,False,True
570501,DMCC Metro Bus Stop Seaside,603,103,100,5,44.0,True,False,False,True
459001,"Satwa, Masjid 1",579,102,97,11,1160.0,False,False,False,False
312101,Al Maaref Private School,485,97,102,6,951.0,False,False,False,False
280101,"Al Nahda 1, DEWA-1",485,97,102,6,723.0,False,False,False,False
544501,Airport Terminal 3,564,93,96,5,88.0,True,False,False,True
633101,Jumeirah Golf Estate Metro Bus Stop 1,523,93,98,3,71.0,True,False,False,True
131102,Max Metro Bus Stop Landside 2,559,92,101,11,91.0,True,False,False,True
