Route,stop_events,trips,otp,late,early,mean_dev_s
C03,3182.0,98.0,0.652,0.341,0.006,297.353
61,2696.0,91.0,0.789,0.194,0.017,187.697
C09,2091.0,70.0,0.793,0.183,0.024,151.225
C28,2176.0,64.0,0.796,0.176,0.028,149.211
25,1554.0,87.0,0.806,0.181,0.013,158.956
C26,2887.0,101.0,0.813,0.171,0.016,149.292
C18,1977.0,62.0,0.816,0.167,0.017,155.221
44,2094.0,59.0,0.84,0.149,0.011,137.443
21B,1716.0,52.0,0.845,0.145,0.01,140.364
21A,988.0,52.0,0.846,0.07,0.084,91.006
F16,848.0,78.0,0.856,0.143,0.001,164.524
29,1099.0,71.0,0.856,0.1,0.044,113.656
13A,3862.0,97.0,0.856,0.126,0.018,119.149
C01,3599.0,154.0,0.868,0.102,0.03,115.922
28,2278.0,131.0,0.874,0.093,0.033,100.869
C10,3410.0,115.0,0.882,0.094,0.024,94.438
C04,1660.0,67.0,0.887,0.096,0.016,102.734
64,4075.0,103.0,0.895,0.08,0.025,95.864
43,2155.0,77.0,0.895,0.078,0.026,95.43
13D,2844.0,127.0,0.897,0.085,0.018,106.545
51,1175.0,49.0,0.904,0.091,0.005,115.719
88,1802.0,66.0,0.907,0.09,0.003,103.127
X02,495.0,55.0,0.909,0.057,0.034,75.362
77,1801.0,106.0,0.914,0.069,0.017,91.181
F19B,976.0,63.0,0.914,0.069,0.017,96.883
27,1422.0,79.0,0.919,0.053,0.028,75.521
F41,1357.0,79.0,0.924,0.066,0.01,98.653
93,2481.0,70.0,0.927,0.067,0.006,101.496
F19A,990.0,63.0,0.933,0.055,0.012,90.074
15,3486.0,97.0,0.937,0.042,0.02,63.944
F15,2305.0,93.0,0.941,0.025,0.034,40.666
10,1520.0,85.0,0.943,0.041,0.015,95.164
98E,995.0,28.0,0.945,0.04,0.015,73.414
F09,590.0,45.0,0.953,0.047,0.0,90.0
F17,335.0,67.0,0.958,0.024,0.018,66.364
14,2300.0,96.0,0.959,0.035,0.007,79.471
F11,850.0,51.0,0.98,0.005,0.015,54.218
F28,608.0,51.0,0.98,0.013,0.007,40.439
