service_id,monday,tuesday,wednesday,thursday,friday,saturday,sunday,start_date,end_date
UH,0,0,0,0,1,0,0,20251003,20251231
US,1,1,1,0,0,0,0,20251003,20251231
UL,0,0,0,1,0,0,0,20251003,20251231
UQ,0,0,0,0,0,1,0,20251003,20251231
UT,0,0,0,0,0,0,1,20251003,20251231
UP,0,1,1,1,0,0,0,20251003,20251231
T6,0,0,0,0,1,0,0,20251003,20251231
UO,1,0,0,0,0,0,0,20251003,20251231
UR,1,1,1,1,0,0,0,20251003,20251231
T3,0,0,0,0,0,0,1,20251003,20251231
T2,0,0,0,0,0,1,0,20251003,20251231
TA,1,1,1,1,1,1,1,20251003,20251231
T5,1,1,1,1,0,0,0,20251003,20251231
4,0,0,0,0,1,0,0,20251003,20251231
5,0,0,0,0,0,1,0,20251003,20251231
6,0,0,0,0,0,0,1,20251003,20251231
1,1,1,1,0,0,0,0,20251003,20251231
3,0,0,0,1,0,0,0,20251003,20251231
