route_id,agency_id,route_short_name,route_long_name,route_type,route_color,route_text_color
11-MRe-2-y08-1,1,MRed2,,1,E91D2F,000000
11-MGr-n-y08-1,1,MGrn,,1,0AAE53,000000
11-MRe-1-y08-1,1,MRed1,,1,E91D2F,000000
5-T01-y08-1,1,T1,,0,F47922,000000
10,1,10,Gold Souq Bus Stn - Al Quoz Bus Stn,3,6F2E90,FFFFFF
1001,1,13D,Gold Souq Bus Stn - Al Qusais Bus Stn,3,6F2E90,FFFFFF
1002,1,21A,Al Quoz Bus Stn - Al Ghubaiba Bus Stn,3,B13592,FFFFFF
1003,1,95A,"Jebel Ali Waterfront, Veneto - Parco Hypermarket",3,6F2E90,FFFFFF
1004,1,21B,Al Ghubaiba Bus Stn - Al Quoz Bus Stn,3,6F2E90,FFFFFF
1007,1,13A,Gold Souq Bus Stn - Al Qusais Bus Stn,3,6F2E90,FFFFFF
1009,1,32C,Al Qusais Bus Stn - Al Satwa Bus Stn,3,6F2E90,FFFFFF
1011,1,63E,Al Qusais Bus Stn - Al Quoz Bus Stn,3,6F2E90,FFFFFF
1012,1,98E,Al Quoz Bus Stn - Al Satwa,3,6F2E90,FFFFFF
1013,1,JLT1,"Sobha Realty MS - JLT, Damas",3,6F2E90,FFFFFF
1014,1,JLT2,"DMCC MS - JLT, Silver Tower",3,6F2E90,FFFFFF
1015,1,N55,Al Ghubaiba Bus Stn - AMI Airport (PTB),3,5E5E5D,FFFFFF
1016,1,DPR1,Ibn Battuta MS - Dubai Parks and Resorts,3,6F2E90,FFFFFF
1017,1,N30,Int'l City Bus Stn - Airport Terminal 2,3,5E5E5D,FFFFFF
1018,1,J01,MOE MS - Jumeirah Village Circle,3,6F2E90,FFFFFF
1019,1,D03,Dubai Mall MS - Dubai Design District,3,6F2E90,FFFFFF
1021,1,J02,IMPZ - Mira,3,6F2E90,FFFFFF
1022,1,J03,Dubai Studio City - Damac Hills,3,6F2E90,FFFFFF
1023,1,J04,Dubai Studio City - Remraam,3,6F2E90,FFFFFF
1024,1,J05,Dubai Studio City - Mira,3,6F2E90,FFFFFF
1026,1,DS1,Expo 2020 MS - Dubai South,3,6F2E90,FFFFFF
1027,1,SH1,Dubai Mall MS - Sobha Hartland,3,6F2E90,FFFFFF
1028,1,DH1,Equiti MS - Dubai Hills,3,6F2E90,FFFFFF
1033,1,20A,"Al Nahda 1, Terminus 2 - Al Warsan 3",3,6F2E90,FFFFFF
1034,1,20B,"Al Warsan 3 - Al Nahda 1, Terminus 2",3,6F2E90,FFFFFF
